nom,symbole,facteur,prix_achat,prix_vente,medicament_id,is_default
Flacon,Fl,1,,,ÉTOPOSIDE,1
Flacon,Fl,1,,,ÉTOPOPHOS,1
Flacon,Fl,1,,,BLÉOMYCINE,1
Flacon,Fl,1,,,JAVLOR,1
Ampoule,Amp,1,,,NAVELBINE,1
Flacon,Fl,1,,,ELDISINE,1
Flacon,Fl,1,,,ONCOVIN,1
Flacon,Fl,1,,,VELBÉ,1
Flacon,Fl,1,,,PACLITAXEL,1
Flacon,Fl,1,,,ABRAXANE,1
Flacon,Fl,1,,,TAXOTERE,1
Flacon,Fl,1,,,JEVTANA,1
Flacon,Fl,1,,,HALAVEN,1
Gélule,Gél,1,,,VESANOID,1
Gélule,Gél,1,,,TARGRETIN,1
Flacon,Fl,1,,,BLINCYTO,1
Flacon,Fl,1,,,MABTHERA,1
Flacon,Fl,1,,,RIXATHON,1
Flacon,Fl,1,,,TRUXIMA,1
Flacon,Fl,1,,,GAZYVARO,1
Flacon,Fl,1,,,BESPONSA,1
Flacon,Fl,1,,,ADCETRIS,1
Flacon,Fl,1,,,MYLOTARG,1
Flacon,Fl,1,,,DARZALEX,1
Flacon,Fl,1,,,HERCEPTIN,1
Flacon,Fl,1,,,HERZUMA,1
Flacon,Fl,1,,,KANJINTI,1
Flacon,Fl,1,,,KADCYLA,1
Flacon,Fl,1,,,PERJETA,1
Flacon,Fl,1,,,AVASTIN,1
Flacon,Fl,1,,,AYBINTIO,1
Flacon,Fl,1,,,MVASI,1
Flacon,Fl,1,,,ZYRABEV,1
Flacon,Fl,1,,,CYRAMZA,1
Flacon,Fl,1,,,ERBITUX,1
Flacon,Fl,1,,,VECTIBIX,1
Flacon,Fl,1,,,YERVOY,1
Flacon,Fl,1,,,KEYTRUDA,1
Flacon,Fl,1,,,OPDIVO,1
Flacon,Fl,1,,,LIBTAYO,1
Flacon,Fl,1,,,BAVENCIO,1
Flacon,Fl,1,,,TECENTRIQ,1
Flacon,Fl,1,,,IMFINZI,1
Flacon,Fl,1,,,QARZIBA,1
Flacon,Fl,1,,,POTELIGEO,1
Flacon,Fl,1,,,ZEVALIN,1
Flacon,Fl,1,,,QUADRAMET,1
Flacon,Fl,1,,,METASTRON,1
Flacon,Fl,1,,,XOFIGO,1
Gélule,Gél,1,,,THALIDOMIDE,1
Gélule,Gél,1,,,REVLIMID,1
Gélule,Gél,1,,,IMNOVID,1
Gélule,Gél,1,,,NINLARO,1
Flacon,Fl,1,,,KYPROLIS,1
Flacon,Fl,1,,,VELCADE,1
Comprimé,Cp,1,,,GLIVEC,1
Comprimé,Cp,1,,,SPRYCEL,1
Gélule,Gél,1,,,TASIGNA,1
Comprimé,Cp,1,,,BOSULIF,1
Comprimé,Cp,1,,,ICLUSIG,1
Gélule,Gél,1,,,RYDAPT,1
Comprimé,Cp,1,,,IRESSA,1
Comprimé,Cp,1,,,TARCEVA,1
Comprimé,Cp,1,,,TAGRISSO,1
Comprimé,Cp,1,,,GIOTRIF,1
Comprimé,Cp,1,,,TYVERB,1
Gélule,Gél,1,,,SUTENT,1
Comprimé,Cp,1,,,VOTRIENT,1
Comprimé,Cp,1,,,INLYTA,1
Comprimé,Cp,1,,,CABOMETYX,1
Comprimé,Cp,1,,,NEXAVAR,1
Comprimé,Cp,1,,,STIVARGA,1
Gélule,Gél,1,,,LENVIMA,1
Comprimé,Cp,1,,,CAPRELSA,1
Gélule,Gél,1,,,ZYKADIA,1
Gélule,Gél,1,,,ALECENSA,1
Gélule,Gél,1,,,XALKORI,1
Comprimé,Cp,1,,,LORVIQUA,1
Comprimé,Cp,1,,,ALUNBRIG,1
Comprimé,Cp,1,,,JAKAVI,1
Comprimé,Cp,1,,,ZELBORAF,1
Gélule,Gél,1,,,BRAFTOVI,1
Gélule,Gél,1,,,TAFINLAR,1
Comprimé,Cp,1,,,MEKTOVI,1
Comprimé,Cp,1,,,COTELLIC,1
Comprimé,Cp,1,,,MEKINIST,1
Comprimé,Cp,1,,,AFINITOR,1
Comprimé,Cp,1,,,VOTUBIA,1
Flacon,Fl,1,,,TORISEL,1
Comprimé,Cp,1,,,ZYDELIG,1
Gélule,Gél,1,,,IMBRUVICA,1
Gélule,Gél,1,,,IBRANCE,1
Comprimé,Cp,1,,,KISQALI,1
Comprimé,Cp,1,,,VERZENIOS,1
Gélule,Gél,1,,,VITRAKVI,1
Gélule,Gél,1,,,ERIVEDGE,1
Gélule,Gél,1,,,ODOMZO,1
Flacon,Fl,1,,,ZALTRAP,1
Gélule,Gél,1,,,FARYDAK,1
Gélule,Gél,1,,,TALZENNA,1
Comprimé,Cp,1,,,RUBRACA,1
Comprimé,Cp,1,,,LYNPARZA,1
